repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,objective_gap,tie_aware_correct,late_count,delay_sum,max_delay,path_length,mean_time,status,reference_available,reference_status,deadline_mode,solve_time
0,0,0,7,0.5,ILP,0.86,True,0.0,True,7,208.54008103986854,86.05162665757264,1,55.228226652190536,Optimal,True,Optimal,exact,0.018959854998684023
0,0,0,7,0.5,MILP,0.86,True,0.0,True,7,208.54008103986854,86.05162665757264,1,55.228226652190536,Optimal,True,Optimal,exact,0.006739794000168331
0,0,0,7,0.5,Dijkstra,0.86,True,0.0,True,7,208.54008103986854,86.05162665757264,1,55.228226652190536,Optimal,True,Optimal,exact,0.00010412099982204381
0,0,0,7,0.7,ILP,0.96,True,0.0,True,2,97.47371597633568,51.630975994543604,1,55.228226652190536,Optimal,True,Optimal,exact,0.01262476599913498
0,0,0,7,0.7,MILP,0.96,True,0.0,True,2,97.47371597633568,51.630975994543604,1,55.228226652190536,Optimal,True,Optimal,exact,0.011904740998943453
0,0,0,7,0.7,Dijkstra,0.96,True,0.0,True,2,97.47371597633568,51.630975994543604,1,55.228226652190536,Optimal,True,Optimal,exact,0.00013551000120060053
0,0,0,7,0.9,ILP,0.96,True,0.0,True,2,28.632414650277468,17.210325331514497,1,55.228226652190536,Optimal,True,Optimal,exact,0.011597583999900962
0,0,0,7,0.9,MILP,0.96,True,0.0,True,2,28.632414650277468,17.210325331514497,1,55.228226652190536,Optimal,True,Optimal,exact,0.011084384999776375
0,0,0,7,0.9,Dijkstra,0.96,True,0.0,True,2,28.632414650277468,17.210325331514497,1,55.228226652190536,Optimal,True,Optimal,exact,0.00010203199963143561
0,1,6,4,0.5,ILP,0.84,True,0.0,True,8,747.8061830424399,222.06362261942695,6,289.0494889131293,Optimal,True,Optimal,exact,0.007837373999791453
0,1,6,4,0.5,MILP,0.84,True,0.0,True,8,747.8061830424399,222.06362261942695,6,289.0494889131293,Optimal,True,Optimal,exact,0.005739146999985678
0,1,6,4,0.5,Dijkstra,0.84,True,0.0,True,8,747.8061830424399,222.06362261942695,6,289.0494889131293,Optimal,True,Optimal,exact,9.872000009636395e-05
0,1,6,4,0.7,ILP,0.94,True,0.0,True,3,259.0817825715435,133.23817357165615,6,289.0494889131293,Optimal,True,Optimal,exact,0.006633324001086294
0,1,6,4,0.7,MILP,0.94,True,0.0,True,3,259.0817825715435,133.23817357165615,6,289.0494889131293,Optimal,True,Optimal,exact,0.00582421499893826
0,1,6,4,0.7,Dijkstra,0.94,True,0.0,True,3,259.0817825715435,133.23817357165615,6,289.0494889131293,Optimal,True,Optimal,exact,0.00011176599946338683
0,1,6,4,0.9,ILP,0.96,True,0.0,True,2,72.7217743591724,44.41272452388546,6,289.0494889131293,Optimal,True,Optimal,exact,0.006140546000096947
0,1,6,4,0.9,MILP,0.96,True,0.0,True,2,72.7217743591724,44.41272452388546,6,289.0494889131293,Optimal,True,Optimal,exact,0.005530196000108845
0,1,6,4,0.9,Dijkstra,0.96,True,0.0,True,2,72.7217743591724,44.41272452388546,6,289.0494889131293,Optimal,True,Optimal,exact,0.00018848900072043762
0,2,4,8,0.5,ILP,0.94,True,0.0,True,3,103.5872201774089,60.70949848364283,2,30.110974644654792,Optimal,True,Optimal,exact,0.01544364300025336
0,2,4,8,0.5,MILP,0.94,True,0.0,True,3,103.5872201774089,60.70949848364283,2,30.110974644654792,Optimal,True,Optimal,exact,0.01182638099999167
0,2,4,8,0.5,Dijkstra,0.94,True,0.0,True,3,103.5872201774089,60.70949848364283,2,30.110974644654792,Optimal,True,Optimal,exact,0.00010753599963209126
0,2,4,8,0.7,ILP,0.96,True,0.0,True,2,43.05571758294839,36.4256990901857,2,30.110974644654792,Optimal,True,Optimal,exact,0.011890276000485756
0,2,4,8,0.7,MILP,0.96,True,0.0,True,2,43.05571758294839,36.4256990901857,2,30.110974644654792,Optimal,True,Optimal,exact,0.010891509999055415
0,2,4,8,0.7,Dijkstra,0.96,True,0.0,True,2,43.05571758294839,36.4256990901857,2,30.110974644654792,Optimal,True,Optimal,exact,0.00011099299990746658
0,2,4,8,0.9,ILP,0.98,True,0.0,True,1,12.141899696728572,12.141899696728572,2,30.110974644654792,Optimal,True,Optimal,exact,0.012409760998707497
