method,tie_aware_accuracy,tie_aware_accuracy_strict,path_match_accuracy,mean_solve_time_s,median_solve_time_s,max_solve_time_s
ILP,1.0,1.0,1.0,0.37183108073703625,0.17509145750227617,4.1505440960027045
MILP,0.902,,0.637,0.1907135529709558,0.12412491350187338,2.1826914379998925
Dijkstra,0.883,,0.752,0.00039266362001217205,0.00037736450030934066,0.0011958809991483577
