method,punctuality_prob,objective_gap,tie_aware_correct,path_length,mean_time,late_count,delay_sum,max_delay,solve_time,correct,repeat,od_idx,origin,dest,alpha
ILP,0.9299999999999999,0.0,True,8,324.1812914651444,35,5792.159399853128,1537.851020137212,0.5083188649950898,True,0,2,46,51,0.5
MILP,0.914,0.015999999999999903,False,8,346.7371313028325,43,4464.750695214954,411.71606000567635,0.2541158500025631,False,0,2,46,51,0.5
Dijkstra,0.9299999999999999,0.0,True,8,324.1812914651442,35,5792.15939985313,1537.851020137212,0.00041157699888572097,False,0,2,46,51,0.5
ILP,0.966,0.0,True,8,324.1812914651442,17,3425.5374913119135,1455.5078081360762,0.3580089280003449,True,0,2,46,51,0.6
MILP,0.962,0.0040000000000000036,False,8,346.7371313028326,19,1993.533307643761,329.3728480045413,0.21286678999604192,False,0,2,46,51,0.6
Dijkstra,0.966,0.0,True,8,324.1812914651442,17,3425.5374913119153,1455.5078081360766,0.0003587850005715154,False,0,2,46,51,0.6
ILP,0.992,0.0,True,8,324.1812914651442,4,1775.85844671681,1290.821384133806,0.18672035000054166,True,0,2,46,51,0.8
MILP,0.99,0.0020000000000000018,False,8,346.73713130283255,5,415.47159516052875,164.686424002271,0.10654875299951527,False,0,2,46,51,0.8
Dijkstra,0.992,0.0,True,8,324.1812914651442,4,1775.85844671681,1290.821384133806,0.0003218160054530017,True,0,2,46,51,0.8
ILP,0.998,0.0,True,7,293.4275504823176,1,339.374380815093,339.374380815093,0.1020283850011765,True,0,5,32,24,0.9
MILP,0.996,0.0020000000000000018,False,10,463.63735449752306,2,132.32890885326515,118.99309035587339,0.2755372460014769,False,0,5,32,24,0.9
Dijkstra,0.998,0.0,True,7,293.4275504823176,1,339.374380815093,339.374380815093,0.00035510199813870713,True,0,5,32,24,0.9
ILP,0.964,0.0,True,8,365.1953025582095,18,3396.438361731035,1409.632900463977,0.4043261800034088,True,0,18,48,44,0.5
MILP,0.962,0.0020000000000000018,False,8,387.7511423958978,19,3304.574571954876,566.0213844241481,0.15902742299658712,False,0,18,48,44,0.5
Dijkstra,0.964,0.0,True,8,365.1953025582095,18,3396.438361731035,1409.632900463977,0.0005546110041905195,True,0,18,48,44,0.5
ILP,0.988,0.0,True,8,365.1953025582095,6,2310.8052600644423,1296.4286235791471,0.18212371799745597,True,0,18,48,44,0.6
MILP,0.978,0.010000000000000009,False,8,387.7511423958978,11,1674.6057066365915,452.81710753931884,0.11711212800582871,False,0,18,48,44,0.6
Dijkstra,0.988,0.0,True,8,365.1953025582095,6,2310.8052600644423,1296.4286235791471,0.0003874280009767972,True,0,18,48,44,0.6
ILP,0.996,0.0,True,7,365.19530255820905,2,1376.1361449093367,1070.0200698094877,0.12502580400177976,True,0,18,48,44,0.8
MILP,0.994,0.0020000000000000018,False,8,387.7511423958978,3,469.41433951181557,226.4085537696592,0.10178796300169779,False,0,18,48,44,0.8
Dijkstra,0.996,0.0,True,8,365.1953025582095,2,1376.136144909337,1070.0200698094877,0.00038190399936866015,False,0,18,48,44,0.8
ILP,0.99,0.0,True,12,605.4513025832856,5,1780.125257351063,1044.8588617947955,0.21032055099931313,True,0,19,26,21,0.5
MILP,0.98,0.010000000000000009,False,17,798.7947358631501,10,1569.171875177224,868.4890641418554,0.12864399200043408,False,0,19,26,21,0.5
Dijkstra,0.99,0.0,True,12,605.4513025832856,5,1780.125257351063,1044.8588617947955,0.00042865100112976506,True,0,19,26,21,0.5
ILP,0.976,0.0,True,12,649.0036596024723,12,3662.127239163581,661.989182018443,0.28179280400217976,True,1,7,26,53,0.5
MILP,0.954,0.02200000000000002,False,14,759.634535879018,23,3542.7066707313247,873.4048104412886,0.4569160609971732,False,1,7,26,53,0.5
Dijkstra,0.976,0.0,True,12,649.0036596024723,12,3662.127239163581,661.989182018443,0.00037649799924110994,True,1,7,26,53,0.5
ILP,0.982,0.0,True,12,649.0036596024723,9,2353.6669857418888,534.4468875758421,0.2742627949992311,True,1,7,26,53,0.6
MILP,0.98,0.0020000000000000018,False,14,759.634535879018,10,1585.5210032142254,745.8625159986875,0.17294509599742014,False,1,7,26,53,0.6
Dijkstra,0.982,0.0,True,12,649.0036596024723,9,2353.6669857418888,534.4468875758421,0.00037890300154685974,True,1,7,26,53,0.6
ILP,0.984,0.0,True,10,627.4491549772204,8,2040.2554762802285,524.2285493666648,0.1914586440034327,True,1,10,55,53,0.6
MILP,0.98,0.0040000000000000036,False,12,738.0800312537663,10,1535.139530362316,610.4199103085016,0.14733373199851485,False,1,10,55,53,0.6
Dijkstra,0.984,0.0,True,10,627.4491549772204,8,2040.2554762802285,524.2285493666648,0.0003717459985637106,True,1,10,55,53,0.6
ILP,0.986,0.0,True,2,138.20048593511473,7,1840.0851177024301,1104.421047757418,0.2309617110004183,True,1,15,49,12,0.6
MILP,0.968,0.018000000000000016,False,5,260.6088077824787,16,1564.32938485974,291.53353709887654,0.6633475730050122,False,1,15,49,12,0.6
Dijkstra,0.986,0.0,True,2,138.20048593511473,7,1840.0851177024301,1104.421047757418,0.00039052699867170304,True,1,15,49,12,0.6
ILP,0.99,0.0,True,2,138.20048593511476,5,1441.2325563413065,1031.537663482699,0.23612988999957452,True,1,15,49,12,0.7
MILP,0.986,0.0040000000000000036,False,6,260.60880778247883,7,740.5271370541669,218.6501528241571,0.5688408860005438,False,1,15,49,12,0.7
Dijkstra,0.99,0.0,True,2,138.20048593511473,5,1441.2325563413065,1031.537663482699,0.00037638699723174796,False,1,15,49,12,0.7
ILP,0.994,0.0,True,2,138.20048593511473,3,1141.5770843331416,958.6542792079798,0.15960330400412204,True,1,15,49,12,0.8
