repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,objective_gap,tie_aware_correct,late_count,delay_sum,max_delay,path_length,mean_time,solve_time
0,0,145,507,0.5,ILP,0.794,True,0.0,True,103,114.77437812760957,4.246779439800864,109,10.327659467889008,120.28815579414368
0,0,145,507,0.5,MILP,0.794,True,0.0,True,103,114.77437812760957,4.246779439800864,109,10.327659467889008,18.42374300956726
0,0,145,507,0.5,Dijkstra,0.794,True,0.0,True,103,114.77437812760957,4.246779439800864,109,10.327659467889008,0.003493964999961463
0,0,145,507,0.7,ILP,0.954,True,0.0,True,23,20.766397084573534,2.548067663880518,109,10.327659467889008,47.775577783584595
0,0,145,507,0.7,MILP,0.952,False,0.0020000000000000018,False,24,18.88801896192792,3.1958736683625855,134,10.525495272555773,23.7755184173584
0,0,145,507,0.7,Dijkstra,0.954,True,0.0,True,23,20.766397084573534,2.548067663880518,109,10.327659467889008,0.004818339999928867
0,0,145,507,0.9,ILP,0.992,True,0.0,True,4,2.9762695213646833,1.4971618924422394,134,10.525495272555773,18.881981372833252
0,0,145,507,0.9,MILP,0.992,False,0.0,True,4,1.6321146514965985,0.8493558879601721,109,10.327659467889008,13.314910173416138
0,0,145,507,0.9,Dijkstra,0.992,False,0.0,True,4,1.6321146514965985,0.8493558879601721,109,10.327659467889008,0.003070856000022104
0,1,444,33,0.5,ILP,0.976,True,0.0,True,12,10.539413877743481,5.463124408400007,34,4.773259150724655,26.16361403465271
0,1,444,33,0.5,MILP,0.976,True,0.0,True,12,10.539413877743481,5.463124408400007,34,4.773259150724655,1.0012845993041992
0,1,444,33,0.5,Dijkstra,0.976,True,0.0,True,12,10.539413877743481,5.463124408400007,34,4.773259150724655,0.0025312759998996626
0,1,444,33,0.7,ILP,0.998,True,0.0,True,1,3.2778746450400043,3.2778746450400043,34,4.773259150724655,3.2883119583129883
0,1,444,33,0.7,MILP,0.998,True,0.0,True,1,3.2778746450400043,3.2778746450400043,34,4.773259150724655,5.416664361953735
0,1,444,33,0.7,Dijkstra,0.998,True,0.0,True,1,3.2778746450400043,3.2778746450400043,34,4.773259150724655,0.0026938869998502923
0,1,444,33,0.9,ILP,0.998,True,0.0,True,1,1.092624881679999,1.092624881679999,34,4.773259150724655,1.10038161277771
0,1,444,33,0.9,MILP,0.998,True,0.0,True,1,1.092624881679999,1.092624881679999,34,4.773259150724655,11.63123893737793
0,1,444,33,0.9,Dijkstra,0.998,True,0.0,True,1,1.092624881679999,1.092624881679999,34,4.773259150724655,0.0025777189998734684
0,2,143,467,0.5,ILP,0.726,True,0.0,True,137,65.31853949336227,1.9818682153652905,50,3.826604302431929,65.49032282829285
0,2,143,467,0.5,MILP,0.726,True,0.0,True,137,65.31853949336227,1.9818682153652905,50,3.826604302431929,3.1177117824554443
0,2,143,467,0.5,Dijkstra,0.726,True,0.0,True,137,65.31853949336227,1.9818682153652905,50,3.826604302431929,0.006949422000161576
0,2,143,467,0.7,ILP,0.956,True,0.0,True,22,7.751381035714304,1.1891209292191744,50,3.826604302431929,23.616225481033325
0,2,143,467,0.7,MILP,0.956,True,0.0,True,22,7.751381035714304,1.1891209292191744,50,3.826604302431929,3.217005968093872
0,2,143,467,0.7,Dijkstra,0.956,True,0.0,True,22,7.751381035714304,1.1891209292191744,50,3.826604302431929,0.0027012650002689043
0,2,143,467,0.9,ILP,0.996,True,0.0,True,2,0.6510589988226103,0.39637364307305756,50,3.826604302431929,4.266998767852783
0,2,143,467,0.9,MILP,0.996,True,0.0,True,2,0.6510589988226103,0.39637364307305756,50,3.826604302431929,3.1930787563323975
0,2,143,467,0.9,Dijkstra,0.996,True,0.0,True,2,0.6510589988226103,0.39637364307305756,50,3.826604302431929,0.0029757029997199425
0,3,204,148,0.5,ILP,0.898,True,0.0,True,51,74.42850042290078,5.8889984138912475,45,7.533066902187013,44.79583692550659
0,3,204,148,0.5,MILP,0.898,True,0.0,True,51,74.42850042290078,5.8889984138912475,45,7.533066902187013,2.7925362586975098
0,3,204,148,0.5,Dijkstra,0.898,True,0.0,True,51,74.42850042290078,5.8889984138912475,45,7.533066902187013,0.0027582699999584293
0,3,204,148,0.7,ILP,0.976,True,0.0,True,12,17.532374060833188,3.533399048334749,45,7.533066902187013,22.99394464492798
0,3,204,148,0.7,MILP,0.976,True,0.0,True,12,17.532374060833188,3.533399048334749,45,7.533066902187013,2.8620359897613525
0,3,204,148,0.7,Dijkstra,0.976,True,0.0,True,12,17.532374060833188,3.533399048334749,45,7.533066902187013,0.003408170000056998
0,3,204,148,0.9,ILP,0.998,True,0.0,True,1,1.1777996827782502,1.1777996827782502,45,7.533066902187013,3.3087687492370605
0,3,204,148,0.9,MILP,0.998,True,0.0,True,1,1.1777996827782502,1.1777996827782502,45,7.533066902187013,2.7305665016174316
0,3,204,148,0.9,Dijkstra,0.998,True,0.0,True,1,1.1777996827782502,1.1777996827782502,45,7.533066902187013,0.003132949000246299
0,4,377,86,0.5,ILP,0.98,True,0.0,True,10,13.683859098276727,7.9052187669742775,31,5.362717844087753,27.95369529724121
0,4,377,86,0.5,MILP,0.98,True,0.0,True,10,13.683859098276727,7.9052187669742775,31,5.362717844087753,12.037889957427979
0,4,377,86,0.5,Dijkstra,0.98,True,0.0,True,10,13.683859098276727,7.9052187669742775,31,5.362717844087753,0.021586656000181392
0,4,377,86,0.7,ILP,0.996,True,0.0,True,2,5.353837569180376,5.198933832436314,31,5.362717844087753,6.837703466415405
0,4,377,86,0.7,MILP,0.996,False,0.0,True,2,5.353837569180376,5.198933832436314,30,5.362717844087753,9.186059951782227
0,4,377,86,0.7,Dijkstra,0.996,False,0.0,True,2,5.353837569180376,5.198933832436314,31,5.362717844087753,0.002557267000156571
0,4,377,86,0.9,ILP,0.998,True,0.0,True,1,4.631497546565109,4.631497546565109,88,7.824483106759907,10.472859144210815
0,4,377,86,0.9,MILP,0.998,False,0.0,True,1,1.3531424672689827,1.3531424672689827,25,5.6967866671360055,10.344345092773438
0,4,377,86,0.9,Dijkstra,0.998,False,0.0,True,1,2.4926488978983503,2.4926488978983503,31,5.362717844087753,0.003043184000034671
0,5,478,513,0.5,ILP,0.8780000002444314,True,0.0,True,61,10.287080834129638,0.6404549386054033,26,1.121787930247055,32.73011636734009
0,5,478,513,0.5,MILP,0.878,False,2.444313640381779e-10,True,61,10.287080834129604,0.6404549386054028,26,1.1217879302470541,3.2903709411621094
0,5,478,513,0.5,Dijkstra,0.878,False,2.444313640381779e-10,True,61,10.287080834129604,0.6404549386054028,26,1.1217879302470541,0.002918632999808324
0,5,478,513,0.7,ILP,0.972,True,0.0,True,14,1.905679799861502,0.3842729631632418,26,1.1217879302470541,26.433207988739014
0,5,478,513,0.7,MILP,0.972,True,0.0,True,14,1.905679799861502,0.3842729631632418,26,1.1217879302470541,3.2761354446411133
0,5,478,513,0.7,Dijkstra,0.972,True,0.0,True,14,1.905679799861502,0.3842729631632418,26,1.1217879302470541,0.0020532779999484774
0,5,478,513,0.9,ILP,0.996,True,0.0,True,2,0.1669146474086587,0.12809098772108052,26,1.1217879302470541,4.067893028259277
0,5,478,513,0.9,MILP,0.996,True,0.0,True,2,0.1669146474086587,0.12809098772108052,26,1.1217879302470541,3.336221933364868
0,5,478,513,0.9,Dijkstra,0.996,True,0.0,True,2,0.1669146474086587,0.12809098772108052,26,1.1217879302470541,0.0025312549996669986
0,6,37,166,0.5,ILP,0.886,True,0.0,True,57,52.480630279386,3.9503739657826777,70,6.650479271004536,17.249284982681274
0,6,37,166,0.5,MILP,0.886,True,0.0,True,57,52.480630279386,3.9503739657826777,70,6.650479271004536,7.77432656288147
0,6,37,166,0.5,Dijkstra,0.886,True,0.0,True,57,52.480630279386,3.9503739657826777,70,6.650479271004536,0.0028883279996989586
0,6,37,166,0.7,ILP,0.986,True,0.0,True,7,8.288245909626639,2.3702243794696063,70,6.650479271004536,15.387296676635742
0,6,37,166,0.7,MILP,0.986,True,0.0,True,7,8.288245909626639,2.3702243794696063,70,6.650479271004536,13.686020135879517
0,6,37,166,0.7,Dijkstra,0.986,True,0.0,True,7,8.288245909626639,2.3702243794696063,70,6.650479271004536,0.0030635049997727037
0,6,37,166,0.9,ILP,0.996,True,0.0,True,2,1.4609054747590449,0.9333733151195069,72,6.798978943415967,12.963624238967896
0,6,37,166,0.9,MILP,0.996,False,0.0,True,2,1.232626420547092,0.7900747931565348,70,6.650479271004536,16.673593521118164
0,6,37,166,0.9,Dijkstra,0.996,False,0.0,True,2,1.232626420547092,0.7900747931565348,70,6.650479271004536,0.002997129000050336
0,7,362,294,0.5,ILP,0.98,True,0.0,True,10,6.827780145885145,2.4349656965515756,39,2.2605449883731867,8.513686418533325
0,7,362,294,0.5,MILP,0.98,True,0.0,True,10,6.827780145885145,2.4349656965515756,39,2.2605449883731867,3.1248815059661865
0,7,362,294,0.5,Dijkstra,0.98,True,0.0,True,10,6.827780145885145,2.4349656965515756,39,2.2605449883731867,0.0027351950002412195
0,7,362,294,0.7,ILP,0.996,True,0.0,True,2,1.6532921783812036,1.460979417930945,39,2.2605449883731867,4.195529937744141
0,7,362,294,0.7,MILP,0.996,False,0.0,True,2,1.6532921783812018,1.460979417930944,39,2.2605449883731867,3.9539806842803955
0,7,362,294,0.7,Dijkstra,0.996,True,0.0,True,2,1.6532921783812036,1.460979417930945,39,2.2605449883731867,0.0036635110000133864
0,7,362,294,0.9,ILP,0.998,True,0.0,True,1,0.4869931393103153,0.4869931393103153,39,2.2605449883731867,3.2727277278900146
0,7,362,294,0.9,MILP,0.998,True,0.0,True,1,0.4869931393103153,0.4869931393103153,39,2.2605449883731867,3.4212160110473633
0,7,362,294,0.9,Dijkstra,0.998,True,0.0,True,1,0.4869931393103153,0.4869931393103153,39,2.2605449883731867,0.009246786999938195
