method,tie_aware_accuracy,path_match_accuracy,mean_solve_time_s,median_solve_time_s,max_solve_time_s
ILP,1.0,1.0,18.81154248432338,17.194875288999356,63.785128024002915
MILP,0.8433333333333334,0.5866666666666667,7.724593712263407,5.258117118501104,34.327997614000196
Dijkstra,0.6766666666666666,0.49333333333333335,0.005289213426713104,0.00385865300131627,0.04708996499903151
