od_idx,method,mean_punctuality_prob,mean_solve_time_s,optimal_rate,reference_available_rate,tie_aware_accuracy,path_match_accuracy,mean_objective_gap,mean_lateness_count,mean_on_time_count
0,Yang_OTAP_ILP,0.6300000000000001,0.39302320099977806,1.0,0.0,,,,18.5,31.5
1,Yang_OTAP_ILP,0.9600000000000002,1.324727911500304,1.0,0.0,,,,2.0,48.0
2,Yang_OTAP_ILP,0.6700000000000002,1.6170899814987933,1.0,0.0,,,,16.5,33.5
3,Yang_OTAP_ILP,0.6400000000000001,7.517807578000429,1.0,0.0,,,,18.0,32.0
