repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,solve_time
0,2,46,51,0.5,MILP,0.914,False,0.23593521118164062
0,2,46,51,0.5,Dijkstra,0.9299999999999999,False,0.0003127889999632316
0,2,46,51,0.6,ILP,0.966,True,0.315382719039917
0,2,46,51,0.6,MILP,0.962,False,0.1917111873626709
0,2,46,51,0.6,Dijkstra,0.966,False,0.00032194599998547346
0,2,46,51,0.7,ILP,0.984,True,0.25783801078796387
0,2,46,51,0.7,MILP,0.984,False,0.11163735389709473
0,2,46,51,0.7,Dijkstra,0.984,True,0.00030531699985658634
0,2,46,51,0.8,ILP,0.992,True,0.1816692352294922
0,2,46,51,0.8,MILP,0.99,False,0.10780954360961914
0,2,46,51,0.8,Dijkstra,0.992,True,0.0003196050001861295
0,2,46,51,0.9,ILP,0.996,True,0.10291838645935059
0,2,46,51,0.9,MILP,0.996,False,0.0987246036529541
0,2,46,51,0.9,Dijkstra,0.994,False,0.00030027299999346724
0,3,33,8,0.5,ILP,0.998,True,0.09575796127319336
0,3,33,8,0.5,MILP,0.998,True,0.11614489555358887
0,3,33,8,0.5,Dijkstra,0.998,True,0.0002637249999679625
0,3,33,8,0.6,ILP,0.998,True,0.09252214431762695
0,3,33,8,0.6,MILP,0.998,False,0.1149289608001709
0,3,33,8,0.6,Dijkstra,0.998,False,0.00026396900011604885
0,3,33,8,0.7,ILP,0.998,True,0.09288787841796875
0,3,33,8,0.7,MILP,0.998,False,0.11092972755432129
0,3,33,8,0.7,Dijkstra,0.998,False,0.00031464399989999947
0,3,33,8,0.8,ILP,0.998,True,0.09236025810241699
0,3,33,8,0.8,MILP,0.998,True,0.10713887214660645
0,3,33,8,0.8,Dijkstra,0.998,True,0.00026629500007402385
0,3,33,8,0.9,ILP,0.998,True,0.1021883487701416
0,3,33,8,0.9,MILP,0.998,True,0.10522913932800293
0,3,33,8,0.9,Dijkstra,0.998,True,0.00026882500014835387
0,4,54,29,0.5,ILP,0.998,True,0.08634734153747559
0,4,54,29,0.5,MILP,0.998,True,0.10500907897949219
0,4,54,29,0.5,Dijkstra,0.994,False,0.0004118769998058269
0,4,54,29,0.6,ILP,0.998,True,0.10116958618164062
0,4,54,29,0.6,MILP,0.998,True,0.0900259017944336
0,4,54,29,0.6,Dijkstra,0.996,False,0.00047654799982410623
0,4,54,29,0.7,ILP,0.998,True,0.08493518829345703
0,4,54,29,0.7,MILP,0.998,True,0.1021728515625
0,4,54,29,0.7,Dijkstra,0.996,False,0.00031205000004774774
0,4,54,29,0.8,ILP,0.998,True,0.08937358856201172
0,4,54,29,0.8,MILP,0.998,False,0.08379364013671875
0,4,54,29,0.8,Dijkstra,0.998,False,0.0002868240003408573
0,4,54,29,0.9,ILP,0.998,True,0.08622908592224121
0,4,54,29,0.9,MILP,0.998,False,0.08284282684326172
0,4,54,29,0.9,Dijkstra,0.998,False,0.0002885740000238002
0,5,32,24,0.5,ILP,0.994,True,0.12435293197631836
0,5,32,24,0.5,MILP,0.994,True,0.35708117485046387
0,5,32,24,0.5,Dijkstra,0.994,True,0.00028261999977985397
0,5,32,24,0.6,ILP,0.994,True,0.15102839469909668
0,5,32,24,0.6,MILP,0.994,True,0.549365758895874
0,5,32,24,0.6,Dijkstra,0.994,True,0.00030429700018430594
0,5,32,24,0.7,ILP,0.994,True,0.21337413787841797
0,5,32,24,0.7,MILP,0.994,False,0.4927182197570801
0,5,32,24,0.7,Dijkstra,0.994,True,0.0002880759998333815
0,5,32,24,0.8,ILP,0.998,True,0.11678099632263184
0,5,32,24,0.8,MILP,0.996,False,0.21068763732910156
0,5,32,24,0.8,Dijkstra,0.996,False,0.0002822390001711028
0,5,32,24,0.9,ILP,0.998,True,0.10093832015991211
0,5,32,24,0.9,MILP,0.996,False,0.2454216480255127
0,5,32,24,0.9,Dijkstra,0.998,True,0.0002748530000644678
0,6,50,41,0.5,ILP,0.978,True,0.15347981452941895
0,6,50,41,0.5,MILP,0.978,True,0.11798787117004395
0,6,50,41,0.5,Dijkstra,0.978,True,0.0002612499997667328
0,6,50,41,0.6,ILP,0.99,True,0.14346551895141602
0,6,50,41,0.6,MILP,0.99,True,0.10290217399597168
0,6,50,41,0.6,Dijkstra,0.99,True,0.0002731429999585089
0,6,50,41,0.7,ILP,0.994,True,0.13355660438537598
0,6,50,41,0.7,MILP,0.994,True,0.1013333797454834
0,6,50,41,0.7,Dijkstra,0.994,True,0.00025190899987137527
0,6,50,41,0.8,ILP,0.998,True,0.10518503189086914
0,6,50,41,0.8,MILP,0.998,True,0.10063004493713379
0,6,50,41,0.8,Dijkstra,0.998,True,0.00025677300027382444
0,6,50,41,0.9,ILP,0.998,True,0.10078239440917969
0,6,50,41,0.9,MILP,0.998,True,0.1063997745513916
0,6,50,41,0.9,Dijkstra,0.998,True,0.0002671520001058525
0,7,26,53,0.5,ILP,0.99,True,0.10055327415466309
0,7,26,53,0.5,MILP,0.99,True,0.09217119216918945
0,7,26,53,0.5,Dijkstra,0.99,True,0.00030568200008929125
0,7,26,53,0.6,ILP,0.996,True,0.09040451049804688
0,7,26,53,0.6,MILP,0.996,True,0.09177041053771973
0,7,26,53,0.6,Dijkstra,0.996,True,0.0003478749999885622
0,7,26,53,0.7,ILP,0.996,True,0.08148002624511719
0,7,26,53,0.7,MILP,0.996,False,0.09125185012817383
0,7,26,53,0.7,Dijkstra,0.996,False,0.00028101099997002166
0,7,26,53,0.8,ILP,0.996,True,0.09722518920898438
0,7,26,53,0.8,MILP,0.996,False,0.09149408340454102
0,7,26,53,0.8,Dijkstra,0.996,False,0.0002876879998439108
0,7,26,53,0.9,ILP,0.998,True,0.08773469924926758
0,7,26,53,0.9,MILP,0.998,False,0.09448528289794922
0,7,26,53,0.9,Dijkstra,0.998,False,0.0002860700001292571
0,8,35,28,0.5,ILP,0.992,True,0.13672423362731934
0,8,35,28,0.5,MILP,0.992,False,0.09721684455871582
0,8,35,28,0.5,Dijkstra,0.992,False,0.0002737609997893742
0,8,35,28,0.6,ILP,0.994,True,0.09771275520324707
0,8,35,28,0.6,MILP,0.994,True,0.09658432006835938
0,8,35,28,0.6,Dijkstra,0.994,True,0.0002692890002435888
0,8,35,28,0.7,ILP,0.994,True,0.10723352432250977
0,8,35,28,0.7,MILP,0.994,True,0.11431765556335449
0,8,35,28,0.7,Dijkstra,0.994,True,0.0002793789999486762
0,8,35,28,0.8,ILP,0.996,True,0.09661507606506348
0,8,35,28,0.8,MILP,0.996,True,0.09500575065612793
0,8,35,28,0.8,Dijkstra,0.996,True,0.0002859460000763647
0,8,35,28,0.9,ILP,0.998,True,0.09620022773742676
0,8,35,28,0.9,MILP,0.998,True,0.09556412696838379
0,8,35,28,0.9,Dijkstra,0.998,True,0.0002841870000338531
0,9,57,4,0.5,ILP,0.978,True,0.10845446586608887
0,9,57,4,0.5,MILP,0.978,True,0.10317659378051758
0,9,57,4,0.5,Dijkstra,0.978,True,0.0002716389999477542
0,9,57,4,0.6,ILP,0.986,True,0.1091766357421875
0,9,57,4,0.6,MILP,0.986,True,0.0901942253112793
0,9,57,4,0.6,Dijkstra,0.986,True,0.00027151899985256023
0,9,57,4,0.7,ILP,0.996,True,0.08759689331054688
0,9,57,4,0.7,MILP,0.996,True,0.08752131462097168
0,9,57,4,0.7,Dijkstra,0.996,True,0.0002628409997669223
0,9,57,4,0.8,ILP,0.996,True,0.09380316734313965
0,9,57,4,0.8,MILP,0.996,True,0.087799072265625
0,9,57,4,0.8,Dijkstra,0.996,True,0.0002754769998318807
0,9,57,4,0.9,ILP,0.998,True,0.08640074729919434
0,9,57,4,0.9,MILP,0.998,True,0.0883946418762207
0,9,57,4,0.9,Dijkstra,0.998,True,0.00025472700008322136
0,10,55,53,0.5,ILP,0.914,True,0.5394995212554932
0,10,55,53,0.5,MILP,0.914,True,0.144331693649292
0,10,55,53,0.5,Dijkstra,0.914,True,0.0002845529998012353
0,10,55,53,0.6,ILP,0.964,True,0.4361543655395508
0,10,55,53,0.6,MILP,0.964,False,0.09402656555175781
0,10,55,53,0.6,Dijkstra,0.964,False,0.0003804540001510759
0,10,55,53,0.7,ILP,0.98,True,0.21175503730773926
0,10,55,53,0.7,MILP,0.98,True,0.08774709701538086
0,10,55,53,0.7,Dijkstra,0.98,True,0.0002898409998124407
0,10,55,53,0.8,ILP,0.99,True,0.1294393539428711
0,10,55,53,0.8,MILP,0.99,False,0.08521032333374023
0,10,55,53,0.8,Dijkstra,0.99,False,0.0002953329999400012
0,10,55,53,0.9,ILP,0.998,True,0.07745814323425293
0,10,55,53,0.9,MILP,0.998,True,0.08508610725402832
0,10,55,53,0.9,Dijkstra,0.998,True,0.00029107099999237107
0,11,17,41,0.5,ILP,0.964,True,1.1185312271118164
0,11,17,41,0.5,MILP,0.964,True,0.40038371086120605
0,11,17,41,0.5,Dijkstra,0.964,True,0.0002622970000629721
0,11,17,41,0.6,ILP,0.988,True,0.5146327018737793
0,11,17,41,0.6,MILP,0.988,True,0.26302289962768555
0,11,17,41,0.6,Dijkstra,0.988,True,0.0002986350000355742
0,11,17,41,0.7,ILP,0.994,True,0.25035905838012695
0,11,17,41,0.7,MILP,0.994,False,0.2967054843902588
0,11,17,41,0.7,Dijkstra,0.994,False,0.00026834899972527637
0,11,17,41,0.8,ILP,0.994,True,0.7766125202178955
0,11,17,41,0.8,MILP,0.994,False,0.346419095993042
0,11,17,41,0.8,Dijkstra,0.994,False,0.000285250000160886
0,11,17,41,0.9,ILP,0.996,True,0.37912511825561523
0,11,17,41,0.9,MILP,0.996,False,0.3037230968475342
0,11,17,41,0.9,Dijkstra,0.996,False,0.00028871399990748614
0,12,45,23,0.5,ILP,0.998,True,0.08878779411315918
0,12,45,23,0.5,MILP,0.996,False,0.10247635841369629
0,12,45,23,0.5,Dijkstra,0.996,False,0.00032641099960528663
0,12,45,23,0.6,ILP,0.998,True,0.09673070907592773
0,12,45,23,0.6,MILP,0.998,False,0.08689236640930176
0,12,45,23,0.6,Dijkstra,0.998,False,0.0003100230001109594
0,12,45,23,0.7,ILP,0.998,True,0.08810687065124512
0,12,45,23,0.7,MILP,0.998,False,0.08801841735839844
0,12,45,23,0.7,Dijkstra,0.998,False,0.0002865690003091004
0,12,45,23,0.8,ILP,0.998,True,0.08805632591247559
0,12,45,23,0.8,MILP,0.998,False,0.08539199829101562
0,12,45,23,0.8,Dijkstra,0.998,False,0.0002710040002966707
0,12,45,23,0.9,ILP,0.998,True,0.0876777172088623
0,12,45,23,0.9,MILP,0.998,False,0.0843210220336914
0,12,45,23,0.9,Dijkstra,0.998,False,0.00027269700012766407
0,13,4,63,0.5,ILP,0.996,True,0.12499380111694336
0,13,4,63,0.5,MILP,0.996,False,0.11815190315246582
0,13,4,63,0.5,Dijkstra,0.996,True,0.00030635999974037986
0,13,4,63,0.6,ILP,0.996,True,0.14921164512634277
0,13,4,63,0.6,MILP,0.996,False,0.11993265151977539
0,13,4,63,0.6,Dijkstra,0.996,True,0.00033411899994462146
0,13,4,63,0.7,ILP,0.998,True,0.10316991806030273
0,13,4,63,0.7,MILP,0.998,True,0.11180615425109863
0,13,4,63,0.7,Dijkstra,0.998,True,0.00028824200035160175
0,13,4,63,0.8,ILP,0.998,True,0.0973825454711914
0,13,4,63,0.8,MILP,0.998,False,0.1113746166229248
0,13,4,63,0.8,Dijkstra,0.998,False,0.00027885100007551955
0,13,4,63,0.9,ILP,0.998,True,0.09490418434143066
0,13,4,63,0.9,MILP,0.998,False,0.11229658126831055
0,13,4,63,0.9,Dijkstra,0.998,False,0.00029706899977099965
0,14,44,50,0.5,ILP,0.992,True,0.10971522331237793
0,14,44,50,0.5,MILP,0.992,True,0.10742068290710449
0,14,44,50,0.5,Dijkstra,0.992,True,0.00028038500022375956
0,14,44,50,0.6,ILP,0.994,True,0.1426398754119873
0,14,44,50,0.6,MILP,0.994,False,0.12083625793457031
0,14,44,50,0.6,Dijkstra,0.994,False,0.00027963399998043315
0,14,44,50,0.7,ILP,0.994,True,0.12694835662841797
0,14,44,50,0.7,MILP,0.994,True,0.11424708366394043
0,14,44,50,0.7,Dijkstra,0.994,True,0.00038168500032043085
0,14,44,50,0.8,ILP,0.996,True,0.10977554321289062
0,14,44,50,0.8,MILP,0.996,True,0.10129523277282715
0,14,44,50,0.8,Dijkstra,0.996,True,0.00031729300008009886
0,14,44,50,0.9,ILP,0.998,True,0.08619213104248047
0,14,44,50,0.9,MILP,0.998,True,0.10325813293457031
0,14,44,50,0.9,Dijkstra,0.998,True,0.0003142489999845566
0,15,49,12,0.5,ILP,0.994,True,0.12319374084472656
0,15,49,12,0.5,MILP,0.994,True,0.09154987335205078
0,15,49,12,0.5,Dijkstra,0.994,True,0.00029826900026819203
0,15,49,12,0.6,ILP,0.996,True,0.104217529296875
0,15,49,12,0.6,MILP,0.996,True,0.09439206123352051
0,15,49,12,0.6,Dijkstra,0.996,True,0.0002721390001170221
0,15,49,12,0.7,ILP,0.998,True,0.10808229446411133
0,15,49,12,0.7,MILP,0.998,True,0.0910494327545166
0,15,49,12,0.7,Dijkstra,0.998,True,0.0002803620000122464
0,15,49,12,0.8,ILP,0.998,True,0.10140752792358398
0,15,49,12,0.8,MILP,0.998,True,0.09153151512145996
0,15,49,12,0.8,Dijkstra,0.998,True,0.0003656250000858563
0,15,49,12,0.9,ILP,0.998,True,0.08814358711242676
0,15,49,12,0.9,MILP,0.998,True,0.09104537963867188
0,15,49,12,0.9,Dijkstra,0.998,True,0.000295963000098709
0,16,32,2,0.5,ILP,0.986,True,0.6754658222198486
0,16,32,2,0.5,MILP,0.982,False,0.5884840488433838
0,16,32,2,0.5,Dijkstra,0.982,False,0.00030766800000492367
0,16,32,2,0.6,ILP,0.992,True,0.32663679122924805
0,16,32,2,0.6,MILP,0.992,False,0.4875679016113281
