method,punctuality_prob,objective_gap,tie_aware_correct,path_length,mean_time,late_count,delay_sum,max_delay,solve_time,correct,repeat,od_idx,origin,dest,alpha
Dijkstra,0.99,0.0,True,9,305.635848440868,5,1179.5559532226837,727.598300736539,0.0003651750012068078,True,4,3,61,47,0.6
ILP,0.986,0.0,True,9,294.9688730029468,7,1562.9966056052954,821.6957874217337,0.36518335500295507,True,4,8,61,4,0.5
MILP,0.966,0.020000000000000018,False,10,388.3340605656157,17,1350.978468895536,386.30856161015595,0.3254153669986408,False,4,8,61,4,0.5
Dijkstra,0.986,0.0,True,9,294.9688730029468,7,1562.9966056052954,821.6957874217337,0.00036918600380886346,True,4,8,61,4,0.5
ILP,0.99,0.0,True,9,294.9688730029468,5,1154.7780550844386,744.4340750997026,0.3522468230003142,True,4,8,61,4,0.6
MILP,0.988,0.0020000000000000018,False,10,388.3340605656157,6,564.6961141066795,309.04684928812435,0.1583125100005418,False,4,8,61,4,0.6
Dijkstra,0.99,0.0,True,9,294.9688730029468,5,1154.7780550844386,744.4340750997026,0.0003877970011672005,True,4,8,61,4,0.6
ILP,0.998,0.0,True,9,466.2854154792924,1,634.6370780833715,634.6370780833715,0.09787027099810075,True,4,14,19,21,0.7
MILP,0.988,0.010000000000000009,False,15,653.8178536524975,6,518.3349821441191,263.6258772967542,0.1153065329999663,False,4,14,19,21,0.7
Dijkstra,0.998,0.0,True,9,466.2854154792924,1,634.6370780833715,634.6370780833715,0.00036841000110143796,True,4,14,19,21,0.7
ILP,0.998,0.0,True,9,466.2854154792924,1,546.7617856511201,546.7617856511201,0.09858424599951832,True,4,14,19,21,0.8
MILP,0.996,0.0020000000000000018,False,15,653.8178536524975,2,248.74380664650448,175.7505848645028,0.10437135300162481,False,4,14,19,21,0.8
Dijkstra,0.998,0.0,True,9,466.2854154792924,1,546.7617856511201,546.7617856511201,0.00037345300370361656,True,4,14,19,21,0.8
ILP,0.894,0.0,True,7,351.55823486686245,53,5760.007692958994,1084.2606667211212,0.8509613070054911,True,4,15,41,63,0.5
MILP,0.876,0.018000000000000016,False,7,372.04699427018556,62,3410.1745488405513,241.323613661354,0.40029457800119417,False,4,15,41,63,0.5
Dijkstra,0.894,0.0,True,7,351.55823486686245,53,5760.007692958994,1084.2606667211212,0.00037647599674528465,True,4,15,41,63,0.5
ILP,0.998,0.0,True,7,208.07990436538148,1,332.96681181282077,332.96681181282077,0.08879935899312841,True,5,2,24,16,0.8
MILP,0.988,0.010000000000000009,False,9,346.2099595907389,6,269.7802017752862,101.81949828123891,0.08043479000480147,False,5,2,24,16,0.8
Dijkstra,0.998,0.0,True,7,208.07990436538148,1,332.96681181282077,332.96681181282077,0.0003401079957257025,True,5,2,24,16,0.8
ILP,0.998,0.0,True,7,208.07990436538148,1,282.05706267220125,282.05706267220125,0.0848765810005716,True,5,2,24,16,0.9
MILP,0.996,0.0020000000000000018,False,9,346.2099595907389,2,72.26806078735376,50.90974914061951,0.07812296900374349,False,5,2,24,16,0.9
Dijkstra,0.998,0.0,True,7,208.07990436538148,1,282.05706267220125,282.05706267220125,0.00035376899904804304,True,5,2,24,16,0.9
ILP,0.914,0.0,True,9,257.52973291848383,43,3612.6301927384775,259.6680432728647,0.888017822006077,True,5,3,61,47,0.5
MILP,0.872,0.04200000000000004,False,8,298.74645515019677,64,3066.483164194813,338.77179000935996,0.462263258996245,False,5,3,61,47,0.5
Dijkstra,0.914,0.0,True,9,257.52973291848383,43,3612.6301927384775,259.6680432728647,0.00040775299567030743,True,5,3,61,47,0.5
ILP,0.99,0.0,True,9,249.10525513493468,5,615.8511189884953,322.6504193938759,0.6246766539989039,True,5,8,61,4,0.7
MILP,0.986,0.0040000000000000036,False,8,277.2913916997678,7,579.2106816246369,198.84281512430772,0.4716341489984188,False,5,8,61,4,0.7
Dijkstra,0.99,0.0,True,9,249.10525513493468,5,615.8511189884953,322.6504193938759,0.0005681959955836646,True,5,8,61,4,0.7
ILP,0.994,0.0,True,8,277.2913916997678,3,339.97279209410544,148.46619571009762,0.35937629899854073,True,5,8,61,4,0.8
MILP,0.988,0.006000000000000005,False,9,340.42266457197593,6,305.8291298830429,216.05367653262988,0.4196678279986372,False,5,8,61,4,0.8
Dijkstra,0.994,0.0,True,9,249.10525513493468,3,385.9124075180447,272.2737999796658,0.00044063199311494827,False,5,8,61,4,0.8
ILP,0.998,0.0,True,9,340.42266457197593,1,165.67705711841995,165.67705711841995,0.3748452840009122,True,5,8,61,4,0.9
MILP,0.992,0.006000000000000005,False,10,312.2365280071428,4,138.21796863718646,51.15546512276842,0.5006185700040078,False,5,8,61,4,0.9
Dijkstra,0.994,0.0040000000000000036,False,9,249.10525513493468,3,234.7825492754149,221.89718056545587,0.0003817630058620125,False,5,8,61,4,0.9
ILP,0.968,0.0,True,2,60.16078408857951,16,1917.0377265471798,784.3329052555881,0.651019154000096,True,5,12,59,32,0.5
MILP,0.942,0.026000000000000023,False,4,122.05213540431961,29,1201.4296082824467,173.01109548097904,0.5536914739932399,False,5,12,59,32,0.5
Dijkstra,0.968,0.0,True,2,60.16078408857952,16,1917.0377265471798,784.3329052555881,0.0005327609978849068,False,5,12,59,32,0.5
