repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,objective_gap,tie_aware_correct,tie_aware_correct_strict,late_count,delay_sum,max_delay,path_length,mean_time,status,reference_available,reference_status,deadline_mode,solve_time
0,0,11,32,0.5,ILP,0.916,True,0.0,True,True,42,1779.4391918442875,168.8762129521715,3,168.61501764489734,Optimal,True,Optimal,heuristic,1.2314629949978553
0,0,11,32,0.5,MILP,0.916,True,0.0,True,,42,1779.4391918442875,168.8762129521715,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.35612335299811093
0,0,11,32,0.5,Dijkstra,0.916,True,0.0,True,,42,1779.4391918442875,168.8762129521715,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.00033902500581461936
0,0,11,32,0.6,ILP,0.964,True,0.0,True,True,18,805.0018244597522,135.1009703617372,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.7689784839967615
0,0,11,32,0.6,MILP,0.964,True,0.0,True,,18,805.0018244597522,135.1009703617372,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.1881735490023857
0,0,11,32,0.6,Dijkstra,0.964,True,0.0,True,,18,805.0018244597522,135.1009703617372,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.00047240699495887384
0,0,11,32,0.7,ILP,0.98,True,0.0,True,True,10,393.28561488211733,101.32572777130292,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.5362528539990308
0,0,11,32,0.7,MILP,0.98,True,0.0,True,,10,393.28561488211733,101.32572777130292,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.16018130899465177
0,0,11,32,0.7,Dijkstra,0.98,True,0.0,True,,10,393.28561488211733,101.32572777130292,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.00035376899904804304
0,0,11,32,0.8,ILP,0.992,True,0.0,True,True,4,153.16513803050572,67.55048518086858,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.21362775599845918
0,0,11,32,0.8,MILP,0.992,True,0.0,True,,4,153.16513803050572,67.55048518086858,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.1568340250014444
0,0,11,32,0.8,Dijkstra,0.992,True,0.0,True,,4,153.16513803050572,67.55048518086858,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.0003868769999826327
0,0,11,32,0.9,ILP,0.994,True,0.0,True,True,3,36.37065752236822,33.77524259043429,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.19261199299944565
0,0,11,32,0.9,MILP,0.994,True,0.0,True,,3,36.37065752236822,33.77524259043429,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.1258176299961633
0,0,11,32,0.9,Dijkstra,0.994,True,0.0,True,,3,36.37065752236822,33.77524259043429,3,168.61501764489734,Optimal,True,Optimal,heuristic,0.00033757199707906693
0,1,47,24,0.5,ILP,0.838,True,0.0,True,True,81,1803.8053204302498,98.98842340484,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.10495570900093298
0,1,47,24,0.5,MILP,0.838,True,0.0,True,,81,1803.8053204302498,98.98842340484,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.08851265200064518
0,1,47,24,0.5,Dijkstra,0.838,True,0.0,True,,81,1803.8053204302498,98.98842340484,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.00033872099447762594
0,1,47,24,0.6,ILP,0.922,True,0.0,True,True,39,680.0100391142942,79.19073872387202,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.10530945100617828
0,1,47,24,0.6,MILP,0.922,True,0.0,True,,39,680.0100391142942,79.19073872387202,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.09086918400134891
0,1,47,24,0.6,Dijkstra,0.922,True,0.0,True,,39,680.0100391142942,79.19073872387202,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.00037028999940957874
0,1,47,24,0.7,ILP,0.98,True,0.0,True,True,10,242.38695627387017,59.393054042904026,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.09927287900063675
0,1,47,24,0.7,MILP,0.98,True,0.0,True,,10,242.38695627387017,59.393054042904026,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.08846015299786814
0,1,47,24,0.7,Dijkstra,0.98,True,0.0,True,,10,242.38695627387017,59.393054042904026,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.0003632379957707599
0,1,47,24,0.8,ILP,0.992,True,0.0,True,True,4,94.81771079653763,39.59536936193598,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.09846669000398833
0,1,47,24,0.8,MILP,0.992,True,0.0,True,,4,94.81771079653763,39.59536936193598,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.09229059700010112
0,1,47,24,0.8,Dijkstra,0.992,True,0.0,True,,4,94.81771079653763,39.59536936193598,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.0003827379987342283
0,1,47,24,0.9,ILP,0.996,True,0.0,True,True,2,39.28742141170355,19.79768468096799,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.09842146500159288
0,1,47,24,0.9,MILP,0.996,True,0.0,True,,2,39.28742141170355,19.79768468096799,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.0952657080051722
0,1,47,24,0.9,Dijkstra,0.996,True,0.0,True,,2,39.28742141170355,19.79768468096799,2,120.60478592425451,Optimal,True,Optimal,heuristic,0.00034281599801033735
0,2,24,16,0.5,ILP,0.976,True,0.0,True,True,12,792.7575170076971,291.7050643450444,7,213.39289231875324,Optimal,True,Optimal,heuristic,0.09817045299860183
0,2,24,16,0.5,MILP,0.976,True,0.0,True,,12,792.7575170076971,291.7050643450444,7,213.39289231875324,Optimal,True,Optimal,heuristic,0.08069787400017958
