method,tie_aware_accuracy,tie_aware_accuracy_strict,path_match_accuracy,mean_solve_time_s,median_solve_time_s,max_solve_time_s
ILP,1.0,1.0,1.0,0.23673656338325236,0.13029753750015516,3.5493867910045083
MILP,0.912,,0.753,0.15563431417600804,0.1092029179999372,0.8271735329981311
Dijkstra,0.873,,0.782,0.0003765780499379616,0.0003662645030999556,0.0008000239977263846
