repeat,od_idx,origin,dest,alpha,tau_heur,tau_exact,Tmin_heur,Tmin_exact,Tmax_heur,Tmax_exact,cand_count_heur,cand_count_exact,tau_diff
0.0,0.0,0.0,7.0,0.5,99.15565909876916,99.15565909876916,13.104032441196509,13.104032441196509,185.2072857563418,185.2072857563418,13,13,0.0
0.0,0.0,0.0,7.0,0.7,133.5763097617982,133.5763097617982,13.104032441196509,13.104032441196509,185.2072857563418,185.2072857563418,13,13,0.0
0.0,0.0,0.0,7.0,0.9,167.9969604248273,167.9969604248273,13.104032441196509,13.104032441196509,185.2072857563418,185.2072857563418,13,13,0.0
0.0,1.0,6.0,4.0,0.5,373.7030967983161,373.7030967983161,151.6394741788892,151.6394741788892,595.766719417743,595.766719417743,3,3,0.0
0.0,1.0,6.0,4.0,0.7,462.5285458460869,462.5285458460869,151.6394741788892,151.6394741788892,595.766719417743,595.766719417743,3,3,0.0
0.0,1.0,6.0,4.0,0.9,551.3539948938576,551.3539948938576,151.6394741788892,151.6394741788892,595.766719417743,595.766719417743,3,3,0.0
0.0,2.0,4.0,8.0,0.5,68.78936388020652,68.78936388020652,8.079865396563678,8.079865396563678,129.49886236384936,129.49886236384936,8,8,0.0
0.0,2.0,4.0,8.0,0.7,93.07316327366365,93.07316327366365,8.079865396563678,8.079865396563678,129.49886236384936,129.49886236384936,8,8,0.0
0.0,2.0,4.0,8.0,0.9,117.35696266712078,117.35696266712078,8.079865396563678,8.079865396563678,129.49886236384936,129.49886236384936,8,8,0.0
0.0,3.0,0.0,6.0,0.5,104.47972432733302,104.47972432733302,12.540684199923348,12.540684199923348,196.41876445474267,196.41876445474267,6,6,0.0
0.0,3.0,0.0,6.0,0.7,141.25534037829686,141.25534037829686,12.540684199923348,12.540684199923348,196.41876445474267,196.41876445474267,6,6,0.0
0.0,3.0,0.0,6.0,0.9,178.03095642926075,178.03095642926075,12.540684199923348,12.540684199923348,196.41876445474267,196.41876445474267,6,6,0.0
