mode,method,path_match,tie_aware,punct,solve_time
heuristic,Dijkstra,0.9111111111111111,0.9777777777777777,0.9288888888888889,0.00011552922244138447
heuristic,ILP,1.0,1.0,0.9293333333333333,0.010860058933475455
heuristic,MILP,0.8444444444444444,0.9777777777777777,0.9284444444444445,0.008670152244667407
exact,Dijkstra,0.9111111111111111,0.9777777777777777,0.9288888888888889,0.000121736733288142
exact,ILP,1.0,1.0,0.9293333333333333,0.010325687711196628
exact,MILP,0.8444444444444444,0.9777777777777777,0.9284444444444445,0.008130973400046869
