method,path_match_accuracy,tie_aware_accuracy,mean_solve_time_s,median_solve_time_s,max_solve_time_s
ILP,1.0,1.0,0.37432913767400167,0.1760149800011277,4.144244055001764
MILP,0.637,0.902,0.19164967116000844,0.12484806050088082,2.1407624450002913
Dijkstra,0.752,0.883,0.00037657268802649926,0.00036201449984218925,0.0014542889985023066
