method,punctuality_prob,objective_gap,tie_aware_correct,path_length,mean_time,late_count,delay_sum,max_delay,solve_time,correct,repeat,od_idx,origin,dest,alpha
ILP,0.9299999999999999,0.0,True,8,324.1812914651444,35,5792.159399853128,1537.851020137212,0.5035472490017128,True,0,2,46,51,0.5
MILP,0.914,0.015999999999999903,False,8,346.7371313028325,43,4464.750695214954,411.71606000567635,0.24407044899999164,False,0,2,46,51,0.5
Dijkstra,0.9299999999999999,0.0,True,8,324.1812914651442,35,5792.15939985313,1537.851020137212,0.0003161859967804048,False,0,2,46,51,0.5
ILP,0.966,0.0,True,8,324.1812914651442,17,3425.5374913119135,1455.5078081360762,0.3427480229984212,True,0,2,46,51,0.6
MILP,0.962,0.0040000000000000036,False,8,346.7371313028326,19,1993.533307643761,329.3728480045413,0.21367108400227153,False,0,2,46,51,0.6
Dijkstra,0.966,0.0,True,8,324.1812914651442,17,3425.5374913119153,1455.5078081360766,0.0003969039971707389,False,0,2,46,51,0.6
ILP,0.992,0.0,True,8,324.1812914651442,4,1775.85844671681,1290.821384133806,0.1904260629999044,True,0,2,46,51,0.8
MILP,0.99,0.0020000000000000018,False,8,346.73713130283255,5,415.47159516052875,164.686424002271,0.11141163700085599,False,0,2,46,51,0.8
Dijkstra,0.992,0.0,True,8,324.1812914651442,4,1775.85844671681,1290.821384133806,0.0003312129992991686,True,0,2,46,51,0.8
ILP,0.998,0.0,True,7,293.4275504823176,1,339.374380815093,339.374380815093,0.0972332559977076,True,0,5,32,24,0.9
MILP,0.996,0.0020000000000000018,False,10,463.63735449752306,2,132.32890885326515,118.99309035587339,0.2620254430003115,False,0,5,32,24,0.9
Dijkstra,0.998,0.0,True,7,293.4275504823176,1,339.374380815093,339.374380815093,0.0003213740019418765,True,0,5,32,24,0.9
ILP,0.964,0.0,True,8,365.1953025582095,18,3396.438361731035,1409.632900463977,0.41666183300185367,True,0,18,48,44,0.5
MILP,0.962,0.0020000000000000018,False,8,387.7511423958978,19,3304.574571954876,566.0213844241481,0.1771754459987278,False,0,18,48,44,0.5
Dijkstra,0.964,0.0,True,8,365.1953025582095,18,3396.438361731035,1409.632900463977,0.00039463799839722924,True,0,18,48,44,0.5
