repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,objective_gap,tie_aware_correct,late_count,delay_sum,max_delay,path_length,mean_time,status,reference_available,reference_status,deadline_mode,solve_time
0,0,0,7,0.5,ILP,0.86,True,0.0,True,7,208.54008103986854,86.05162665757264,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.02365392100000463
0,0,0,7,0.5,MILP,0.86,True,0.0,True,7,208.54008103986854,86.05162665757264,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.008204955000110203
0,0,0,7,0.5,Dijkstra,0.86,True,0.0,True,7,208.54008103986854,86.05162665757264,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.00011897400145244319
0,0,0,7,0.7,ILP,0.96,True,0.0,True,2,97.47371597633568,51.630975994543604,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.013623987999380915
0,0,0,7,0.7,MILP,0.96,True,0.0,True,2,97.47371597633568,51.630975994543604,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.013462697999784723
0,0,0,7,0.7,Dijkstra,0.96,True,0.0,True,2,97.47371597633568,51.630975994543604,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.0001298160004807869
0,0,0,7,0.9,ILP,0.96,True,0.0,True,2,28.632414650277468,17.210325331514497,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.01385735000076238
0,0,0,7,0.9,MILP,0.96,True,0.0,True,2,28.632414650277468,17.210325331514497,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.013442297000437975
0,0,0,7,0.9,Dijkstra,0.96,True,0.0,True,2,28.632414650277468,17.210325331514497,1,55.228226652190536,Optimal,True,Optimal,heuristic,0.00011394000102882273
0,1,6,4,0.5,ILP,0.84,True,0.0,True,8,747.8061830424399,222.06362261942695,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.009873555000012857
0,1,6,4,0.5,MILP,0.84,True,0.0,True,8,747.8061830424399,222.06362261942695,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.006403866000255221
0,1,6,4,0.5,Dijkstra,0.84,True,0.0,True,8,747.8061830424399,222.06362261942695,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.0001357910005026497
0,1,6,4,0.7,ILP,0.94,True,0.0,True,3,259.0817825715435,133.23817357165615,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.006679920999886235
0,1,6,4,0.7,MILP,0.94,True,0.0,True,3,259.0817825715435,133.23817357165615,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.007045428001219989
0,1,6,4,0.7,Dijkstra,0.94,True,0.0,True,3,259.0817825715435,133.23817357165615,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.0001177829999505775
0,1,6,4,0.9,ILP,0.96,True,0.0,True,2,72.7217743591724,44.41272452388546,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.009453640999709023
0,1,6,4,0.9,MILP,0.96,True,0.0,True,2,72.7217743591724,44.41272452388546,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.007285236999450717
0,1,6,4,0.9,Dijkstra,0.96,True,0.0,True,2,72.7217743591724,44.41272452388546,6,289.0494889131293,Optimal,True,Optimal,heuristic,0.00012225399950693827
0,2,4,8,0.5,ILP,0.94,True,0.0,True,3,103.5872201774089,60.70949848364283,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.0169797140006267
0,2,4,8,0.5,MILP,0.94,True,0.0,True,3,103.5872201774089,60.70949848364283,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.010671955000361777
0,2,4,8,0.5,Dijkstra,0.94,True,0.0,True,3,103.5872201774089,60.70949848364283,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.00013590699927590322
0,2,4,8,0.7,ILP,0.96,True,0.0,True,2,43.05571758294839,36.4256990901857,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.012744780999128125
0,2,4,8,0.7,MILP,0.96,True,0.0,True,2,43.05571758294839,36.4256990901857,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.015252636998411617
0,2,4,8,0.7,Dijkstra,0.96,True,0.0,True,2,43.05571758294839,36.4256990901857,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.00019057799909205642
0,2,4,8,0.9,ILP,0.98,True,0.0,True,1,12.141899696728572,12.141899696728572,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.01279047800016997
0,2,4,8,0.9,MILP,0.98,True,0.0,True,1,12.141899696728572,12.141899696728572,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.012481073001254117
0,2,4,8,0.9,Dijkstra,0.98,True,0.0,True,1,12.141899696728572,12.141899696728572,2,30.110974644654792,Optimal,True,Optimal,heuristic,0.00014372000077855773
0,3,0,6,0.5,ILP,0.78,True,0.0,True,11,341.2509481901002,91.93904012740965,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.01565058799860708
0,3,0,6,0.5,MILP,0.78,True,0.0,True,11,341.2509481901002,91.93904012740965,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.0072383040005661314
0,3,0,6,0.5,Dijkstra,0.78,True,0.0,True,11,341.2509481901002,91.93904012740965,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.00011100400115537923
0,3,0,6,0.7,ILP,0.92,True,0.0,True,4,86.92795268438076,55.16342407644581,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.021804526000778424
0,3,0,6,0.7,MILP,0.92,True,0.0,True,4,86.92795268438076,55.16342407644581,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.011816729000202031
0,3,0,6,0.7,Dijkstra,0.92,True,0.0,True,4,86.92795268438076,55.16342407644581,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.00012577499910548795
0,3,0,6,0.9,ILP,0.98,True,0.0,True,1,18.387808025481917,18.387808025481917,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.009931709999364102
0,3,0,6,0.9,MILP,0.98,True,0.0,True,1,18.387808025481917,18.387808025481917,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.010855226000785478
0,3,0,6,0.9,Dijkstra,0.98,True,0.0,True,1,18.387808025481917,18.387808025481917,1,63.789430761901876,Optimal,True,Optimal,heuristic,0.00010343099893361796
0,4,2,0,0.5,ILP,0.94,True,0.0,True,3,445.16494740979215,260.40320838397486,4,238.26711308597632,Optimal,True,Optimal,heuristic,0.005390980000811396
0,4,2,0,0.5,MILP,0.94,True,0.0,True,3,445.16494740979215,260.40320838397486,4,238.26711308597632,Optimal,True,Optimal,heuristic,0.005094661000839551
0,4,2,0,0.5,Dijkstra,0.94,True,0.0,True,3,445.16494740979215,260.40320838397486,4,238.26711308597632,Optimal,True,Optimal,heuristic,9.771700024430174e-05
0,4,2,0,0.7,ILP,0.96,True,0.0,True,2,224.36133331303176,156.24192503038495,4,238.26711308597632,Optimal,True,Optimal,heuristic,0.004885636999460985
0,4,2,0,0.7,MILP,0.96,True,0.0,True,2,224.36133331303176,156.24192503038495,4,238.26711308597632,Optimal,True,Optimal,heuristic,0.006353990000206977
0,4,2,0,0.7,Dijkstra,0.96,True,0.0,True,2,224.36133331303176,156.24192503038495,4,238.26711308597632,Optimal,True,Optimal,heuristic,9.246400077245198e-05
0,4,2,0,0.9,ILP,0.98,True,0.0,True,1,52.080641676794926,52.080641676794926,4,238.26711308597632,Optimal,True,Optimal,heuristic,0.005161846000191872
0,4,2,0,0.9,MILP,0.98,True,0.0,True,1,52.080641676794926,52.080641676794926,4,238.26711308597632,Optimal,True,Optimal,heuristic,0.004825318999792216
0,4,2,0,0.9,Dijkstra,0.98,True,0.0,True,1,52.080641676794926,52.080641676794926,4,238.26711308597632,Optimal,True,Optimal,heuristic,0.00012104200141038746
1,0,0,7,0.5,ILP,0.78,True,0.0,True,11,227.82337279195133,49.05725197899852,1,48.91391230861976,Optimal,True,Optimal,heuristic,0.01611976899948786
1,0,0,7,0.5,MILP,0.78,True,0.0,True,11,227.82337279195133,49.05725197899852,1,48.91391230861976,Optimal,True,Optimal,heuristic,0.007553340001322795
1,0,0,7,0.5,Dijkstra,0.78,True,0.0,True,11,227.82337279195133,49.05725197899852,1,48.91391230861976,Optimal,True,Optimal,heuristic,0.00013180099995224737
1,0,0,7,0.7,ILP,0.92,True,0.0,True,4,73.13116315772017,29.434351187399116,1,48.91391230861976,Optimal,True,Optimal,heuristic,0.009184935999655863
1,0,0,7,0.7,MILP,0.92,True,0.0,True,4,73.13116315772017,29.434351187399116,1,48.91391230861976,Optimal,True,Optimal,heuristic,0.006736440000167931
1,0,0,7,0.7,Dijkstra,0.92,True,0.0,True,4,73.13116315772017,29.434351187399116,1,48.91391230861976,Optimal,True,Optimal,heuristic,9.688200043456163e-05
1,0,0,7,0.9,ILP,0.98,True,0.0,True,1,9.811450395799696,9.811450395799696,1,48.91391230861976,Optimal,True,Optimal,heuristic,0.00971416700122063
1,0,0,7,0.9,MILP,0.98,True,0.0,True,1,9.811450395799696,9.811450395799696,1,48.91391230861976,Optimal,True,Optimal,heuristic,0.00980401000015263
1,0,0,7,0.9,Dijkstra,0.98,True,0.0,True,1,9.811450395799696,9.811450395799696,1,48.91391230861976,Optimal,True,Optimal,heuristic,0.0001180340004793834
1,1,6,4,0.5,ILP,0.76,True,0.0,True,12,1368.6974020487958,319.9799632296223,6,405.7814164758271,Optimal,True,Optimal,heuristic,0.008238361000621808
1,1,6,4,0.5,MILP,0.76,True,0.0,True,12,1368.6974020487958,319.9799632296223,6,405.7814164758271,Optimal,True,Optimal,heuristic,0.006168609001178993
1,1,6,4,0.5,Dijkstra,0.76,True,0.0,True,12,1368.6974020487958,319.9799632296223,6,405.7814164758271,Optimal,True,Optimal,heuristic,9.735099956742488e-05
1,1,6,4,0.7,ILP,0.92,True,0.0,True,4,515.1901680387391,258.47201116711483,7,407.7491146495347,Optimal,True,Optimal,heuristic,0.0071448279995820485
1,1,6,4,0.7,MILP,0.92,False,0.0,True,4,393.0785332212588,191.9879779377734,6,405.7814164758271,Optimal,True,Optimal,heuristic,0.006768695999198826
1,1,6,4,0.7,Dijkstra,0.92,False,0.0,True,4,393.0785332212588,191.9879779377734,6,405.7814164758271,Optimal,True,Optimal,heuristic,0.00010849800128198694
1,1,6,4,0.9,ILP,0.96,True,0.0,True,2,146.79234162273974,130.48002587526582,7,407.7491146495347,Optimal,True,Optimal,heuristic,0.007818051000867854
1,1,6,4,0.9,MILP,0.96,False,0.0,True,2,108.41123201202936,63.99599264592439,6,405.7814164758271,Optimal,True,Optimal,heuristic,0.006511612999020144
1,1,6,4,0.9,Dijkstra,0.96,False,0.0,True,2,108.41123201202936,63.99599264592439,6,405.7814164758271,Optimal,True,Optimal,heuristic,0.00011369900130375754
1,2,4,8,0.5,ILP,0.8,True,0.0,True,10,273.72081600895876,102.86473385213063,2,109.09349346181142,Optimal,True,Optimal,heuristic,0.013987122001708485
1,2,4,8,0.5,MILP,0.8,True,0.0,True,10,273.72081600895876,102.86473385213063,2,109.09349346181142,Optimal,True,Optimal,heuristic,0.013282921001518844
1,2,4,8,0.5,Dijkstra,0.8,True,0.0,True,10,273.72081600895876,102.86473385213063,2,109.09349346181142,Optimal,True,Optimal,heuristic,0.00011856600031023845
1,2,4,8,0.7,ILP,0.96,True,0.0,True,2,63.33755520219623,61.7188403112784,2,109.09349346181142,Optimal,True,Optimal,heuristic,0.017993824998484342
1,2,4,8,0.7,MILP,0.96,True,0.0,True,2,63.33755520219623,61.7188403112784,2,109.09349346181142,Optimal,True,Optimal,heuristic,0.01299235700025747
1,2,4,8,0.7,Dijkstra,0.96,True,0.0,True,2,63.33755520219623,61.7188403112784,2,109.09349346181142,Optimal,True,Optimal,heuristic,0.0001091760004783282
1,2,4,8,0.9,ILP,0.98,True,0.0,True,1,20.572946770426114,20.572946770426114,2,109.09349346181142,Optimal,True,Optimal,heuristic,0.015033386000141036
1,2,4,8,0.9,MILP,0.98,True,0.0,True,1,20.572946770426114,20.572946770426114,2,109.09349346181142,Optimal,True,Optimal,heuristic,0.014983486998971784
